district,code1,code2,description,lon,lat,other
永嘉,22522,11182,村庄,120.51943,28.40695,215
永嘉,22650,11183,村庄,120.680511,28.370321,200
永嘉,22746,11138,城区道路,120.61146,28.04382,90
永嘉,22522,11093,村庄,120.69349,28.19376,115
永嘉,22515,11094,村庄,120.717981,28.596891,230
永嘉,22387,11373,国道省道,120.69061,28.11124,40
永嘉,22522,11374,村庄,120.66505,28.24475,190
龙湾,26490,10869,村庄,120.77803,27.96043,65
鹿城,26740,10325,乡镇,120.50183,28.06944,280
龙湾,22656,10870,商业中心,120.716664,27.986595,
鹿城,26487,10871,体育场馆,120.675201,28.004611,30
龙湾,26610,10837,低层居民区,120.83617,27.91218,350
瓯海,22657,10872,工业园区,120.57877,27.97868,360
龙湾,22521,10839,高层居民区,120.709194,27.989993,
鹿城,22642,10840,商业中心,120.66235,28.01459,
鹿城,22490,10874,低层居民区,120.571056,28.039234,280
鹿城,26488,10805,高校,120.69558,28.00437,105
瓯海,26751,10841,村庄,120.63452,27.90417,320
龙湾,22656,10806,工业园区,120.71605,27.98884,135
瓯海,22738,10807,村庄,120.653201,27.86075,265
永嘉,22517,11502,村庄,120.447951,28.276131,130
永嘉,22389,11550,高层居民区,120.62428,28.04277,
永嘉,22522,11501,村庄,120.632001,28.309301,240
永嘉,22522,11444,村庄,120.60448,28.126601,250
永嘉,22743,11445,高速公路,120.68672,28.09054,40
永嘉,22746,11356,国道省道,120.651101,28.049821,40
永嘉,22522,11402,村庄,120.537901,28.26414,90
永嘉,22395,11357,低层居民区,120.77976,28.02468,65
永嘉,22517,11358,村庄,120.42937,28.38373,40
永嘉,22387,11359,写字楼,120.685327,28.152048,
永嘉,22746,11315,低层居民区,120.63988,28.04071,45
永嘉,22522,11317,村庄,120.61589,28.20675,130
永嘉,22650,11360,村庄,120.484673,28.539115,220
永嘉,22746,11318,低层居民区,120.63988,28.04071,90
永嘉,22395,11319,工业园区,120.77649,28.02789,
永嘉,26813,11320,高速公路,120.645001,28.094722,0
永嘉,22743,11272,村庄,120.753211,28.089971,0
永嘉,22743,11321,村庄,120.80546,28.07782,320
永嘉,22650,11271,风景区,120.73371,28.24764,330
永嘉,22518,11184,村庄,120.70977,28.33012,130
永嘉,22395,11227,国道省道,120.73858,28.03688,90
永嘉,26612,11416,长途汽车站,120.666573,28.052621,100
永嘉,22650,11417,村庄,120.67812,28.33812,0
永嘉,22743,11013,高速公路,120.688201,28.083401,50
永嘉,22387,11053,低层居民区,120.68704,28.16289,110
鹿城,26623,10326,高校,120.58643,28.04572,40
鹿城,22665,10363,工业园区,120.588125,28.019216,90
鹿城,26609,10327,工业园区,120.59028,28.02926,100
瓯海,22399,10328,村庄,120.56955,28.00515,0
鹿城,22397,10329,星级酒店,120.64233,28.012901,
鹿城,22642,10873,高校,120.66871,28.01279,135
鹿城,22654,10330,写字楼,120.669262,28.023067,
鹿城,22523,10875,低层居民区,120.63698,28.017101,100
龙湾,26738,10332,城区道路,120.75603,27.97014,55
龙湾,22521,10842,城区道路,120.71498,27.995577,10
瓯海,26739,10876,乡镇,120.53457,27.98721,100
龙湾,26610,10844,机场,120.84597,27.91505,170
永嘉,22522,11551,村庄,120.67277,28.18366,320
永嘉,22650,11552,村庄,120.665076,28.416898,190
永嘉,22650,11604,村庄,120.69573,28.285901,270
永嘉,22743,11503,高速公路,120.702081,28.089221,200
永嘉,22522,11504,村庄,120.56704,28.408801,100
永嘉,22659,11403,高速公路,120.54478,28.14395,340
永嘉,26612,11446,工业园区,120.688071,28.070281,350
永嘉,22743,11404,村庄,120.741691,28.070181,20
永嘉,22659,11405,高速公路,120.54478,28.14395,90
永嘉,22525,11362,工业园区,120.60338,28.06248,150
永嘉,22515,11361,村庄,120.835201,28.38957,0
永嘉,22522,11364,村庄,120.65526,28.237501,200
永嘉,22525,11365,工业园区,120.60338,28.06248,150
永嘉,22743,11322,工业园区,120.69711,28.08021,120
永嘉,22525,11367,城区道路,120.609474,28.055285,50
永嘉,22650,11368,村庄,120.522001,28.433801,140
永嘉,22525,11228,工业园区,120.61286,28.05349,220
永嘉,22650,11229,村庄,120.65977,28.37997,180
永嘉,22514,11273,企事业单位,120.479414,28.169751,50
瓯海,22658,11096,低层居民区,120.614505,27.987233,120
永嘉,22515,11141,风景区,120.88362,28.39656,120
永嘉,22389,11375,工业园区,120.61542,28.05184,110
永嘉,22650,11377,村庄,120.80559,28.21823,70
龙湾,26616,10364,城区道路,120.82617,27.924901,225
瓯海,22384,10399,星级酒店,120.63389,28.00823,
鹿城,26805,10365,低层居民区,120.65083,28.01417,170
瓯海,22656,10366,城中村,120.674444,27.969361,100
鹿城,26493,10331,低层居民区,120.68338,27.98839,70
瓯海,22399,10367,工业园区,120.546201,27.97724,210
鹿城,22642,10333,商业中心,120.65921,28.01319,0
鹿城,22521,10369,企事业单位,120.70809,27.99841,
鹿城,22642,10370,写字楼,120.65995,28.01195,
龙湾,26490,10877,乡镇,120.87534,27.95852,30
鹿城,26489,10334,城区道路,120.711717,28.005059,70
鹿城,26489,10878,低层居民区,120.69386,28.01211,70
龙湾,22656,10879,商业中心,120.718748,27.983214,
永嘉,22389,11606,低层居民区,120.621611,28.039924,10
瓯海,22494,10916,工业园区,120.60138,27.95794,20
永嘉,22525,11553,高速公路,120.61293,28.07361,110
永嘉,22515,11554,村庄,120.74201,28.49447,290
永嘉,22650,11447,村庄,120.60183,28.35822,260
永嘉,22387,11450,医院,120.68753,28.16048,
永嘉,22387,11505,低层居民区,120.68704,28.16289,110
永嘉,22522,11452,村庄,120.550828,28.162298,135
永嘉,22518,11453,高速公路,120.679801,28.515563,210
永嘉,22650,11451,高速公路,120.769001,28.225601,360
永嘉,26612,11406,国道省道,120.68349,28.050251,50
永嘉,22522,11407,村庄,120.50519,28.29067,260
永嘉,22743,11408,高速公路,120.680149,28.088679,35
永嘉,26612,11410,高层居民区,120.658001,28.038742,
永嘉,22650,11457,村庄,120.773481,28.172881,310
永嘉,26612,11369,高层居民区,120.659441,28.039023,
永嘉,22746,11370,高层居民区,120.650314,28.039838,
